SectorID,ItemID,Sector name,Lettername,Item name,Loot tier,Total drops recorded,High surv drop chance,High surv tier proc chance,High surv drop chance (within tier),Overall drop chance (within tier),Poor min,Poor avg,Poor max,Normal min,Normal avg,Normal max,Optimal min,Optimal avg,Optimal max,Poor drops recorded,Normal drops recorded,Optimal drops recorded
1,5665,The Ivory Shoals,A,Heavens' Eye Materia II,T1,53694,6.48%,38.78%,16.71%,20.77%,5,8.105263157894736,10,10,12.96078431372549,15,15,17.988696237061394,20,19,153,53522
1,5715,The Ivory Shoals,A,Quickarm Materia II,T1,44309,7.57%,38.78%,19.53%,17.14%,5,6.722222222222222,10,10,13.082758620689654,15,15,18.176731753726273,20,18,145,44146
1,12220,The Ivory Shoals,A,Red Moko Grass,T1,50195,5.93%,38.78%,15.29%,19.41%,21,27.6,30,30,34.61702127659574,40,40,44.937894652705616,50,10,141,50044
1,7590,The Ivory Shoals,A,Scarlet Sap,T1,27904,5.38%,38.78%,13.88%,10.79%,10,12.416666666666666,15,15,16.644444444444446,20,20,21.68901517876412,25,12,90,27802
1,13,The Ivory Shoals,A,Water Crystal,T1,51272,7.07%,38.78%,18.24%,19.83%,25,27.63157894736842,30,30,32.48876404494382,35,35,37.338345570239845,40,19,178,51075
1,10,The Ivory Shoals,A,Wind Crystal,T1,31164,6.34%,38.78%,16.35%,12.05%,25,27.09090909090909,30,30,32.292929292929294,35,35,37.26527983512591,40,11,99,31054
1,12923,The Ivory Shoals,A,Bamboo Weave,T2,31471,6.75%,36.63%,18.43%,19.96%,2,3.1666666666666665,5,5,7.817391304347826,10,10,12.576714513556619,15,6,115,31350
1,12586,The Ivory Shoals,A,Birch Branch,T2,35124,8.03%,36.63%,21.92%,22.27%,10,13.473684210526315,15,15,17.851063829787233,20,20,22.829567850104254,25,19,94,35011
1,12928,The Ivory Shoals,A,Empty Crystal,T2,25812,7.16%,36.63%,19.55%,16.37%,5,7.384615384615385,10,10,12.041666666666666,15,15,17.016364131068528,20,13,72,25727
1,5666,The Ivory Shoals,A,Heavens' Eye Materia III,T2,25627,6.66%,36.63%,18.18%,16.25%,5,7.444444444444445,10,10,11.913978494623656,15,15,17.06918707149853,20,9,93,25525
1,5716,The Ivory Shoals,A,Quickarm Materia III,T2,39668,8.03%,36.63%,21.92%,25.15%,5,8.153846153846153,10,10,12.642384105960264,15,15,17.55039995949777,20,13,151,39504
1,10099,The Ivory Shoals,A,Unaspected Crystal,T3,539,24.59%,24.59%,100.00%,100.00%,1,2.9166666666666665,5,5,7.3090909090909095,10,10,12.405963302752294,15,48,55,436
2,5680,Deep-sea site 1,B,Battledance Materia II,T1,60386,8.43%,51.99%,16.21%,20.58%,5,7.230769230769231,10,10,12.626262626262626,15,15,17.937418968784282,20,26,198,60162
2,11,Deep-sea site 1,B,Earth Crystal,T1,38044,7.86%,51.99%,15.12%,12.97%,25,27.17391304347826,30,30,32.390977443609025,35,35,37.396642736486484,40,23,133,37888
2,7588,Deep-sea site 1,B,Ferberite,T1,34398,8.10%,51.99%,15.58%,11.72%,10,12.142857142857142,15,15,16.483333333333334,20,20,21.785547445255474,25,28,120,34250
2,9,Deep-sea site 1,B,Ice Crystal,T1,57555,8.82%,51.99%,16.97%,19.62%,25,27.742857142857144,30,30,32.383495145631066,35,35,37.377830896465085,40,35,206,57314
2,5720,Deep-sea site 1,B,Quicktongue Materia II,T1,47259,10.21%,51.99%,19.63%,16.11%,5,7.454545454545454,10,10,12.779005524861878,15,15,18.04909214610707,20,44,181,47034
2,12224,Deep-sea site 1,B,Vivianite,T1,55759,8.57%,51.99%,16.49%,19.00%,20,24.5,30,30,35.225433526011564,40,40,45.01103391172871,50,30,173,55556
2,12923,Deep-sea site 1,B,Bamboo Weave,T2,18955,6.58%,31.54%,20.88%,19.33%,1,3.4210526315789473,5,5,7.590909090909091,10,10,12.56080220713073,15,19,88,18848
2,5681,Deep-sea site 1,B,Battledance Materia III,T2,16201,6.43%,31.54%,20.38%,16.52%,6,7.7727272727272725,10,10,12.222222222222221,15,15,17.031911591233627,20,22,72,16107
2,12928,Deep-sea site 1,B,Empty Crystal,T2,15336,5.60%,31.54%,17.75%,15.64%,5,7.631578947368421,10,10,12.112676056338028,15,15,16.77397350124623,20,19,71,15246
2,5118,Deep-sea site 1,B,Gold Ore,T2,21393,6.11%,31.54%,19.37%,21.82%,10,13.347826086956522,15,15,18.134831460674157,20,20,22.843663361684133,25,23,89,21281
2,5721,Deep-sea site 1,B,Quicktongue Materia III,T2,26172,6.82%,31.54%,21.63%,26.69%,5,7.53125,10,10,12.990196078431373,15,15,17.760695905983564,20,32,102,26038
2,10099,Deep-sea site 1,B,Unaspected Crystal,T3,1251,16.47%,16.47%,100.00%,100.00%,1,2.8823529411764706,5,5,7.69811320754717,10,10,12.392920353982301,15,68,53,1130
3,5710,Deep-sea site 2,C,Craftsman's Command Materia II,T1,84027,5.65%,38.90%,14.52%,21.81%,5,6.780821917808219,10,10,12.874810318664643,15,15,17.96168740016458,20,73,1318,82636
3,5700,Deep-sea site 2,C,Craftsman's Competence Materia II,T1,64728,8.70%,38.90%,22.37%,16.80%,5,7.6380952380952385,10,10,13.093901258470474,15,15,18.131938984117,20,105,1033,63590
3,12220,Deep-sea site 2,C,Red Moko Grass,T1,73229,5.69%,38.90%,14.62%,19.01%,20,26.39622641509434,30,30,35.00605012964564,40,40,45.0806176147961,50,53,1157,72019
3,7590,Deep-sea site 2,C,Scarlet Sap,T1,37609,5.88%,38.90%,15.11%,9.76%,10,12.507936507936508,15,15,16.6269592476489,20,20,21.606264224558362,25,63,638,36908
3,13,Deep-sea site 2,C,Water Crystal,T1,79354,7.43%,38.90%,19.09%,20.60%,25,27.26086956521739,30,30,32.348817567567565,35,35,37.37886472501857,40,92,1184,78078
3,10,Deep-sea site 2,C,Wind Crystal,T1,46233,5.55%,38.90%,14.28%,12.00%,25,27.25925925925926,30,30,32.29074315514993,35,35,37.20972430194662,40,54,767,45412
3,12923,Deep-sea site 2,C,Bamboo Weave,T2,47826,6.66%,38.14%,17.47%,20.01%,1,3.0375,5,5,7.4961439588688945,10,10,12.493527508090615,15,80,778,46968
3,12586,Deep-sea site 2,C,Birch Branch,T2,55718,8.70%,38.14%,22.82%,23.31%,10,13.08108108108108,15,15,17.784699453551912,20,20,22.85257441673371,25,111,915,54692
3,5711,Deep-sea site 2,C,Craftsman's Command Materia III,T2,37825,6.99%,38.14%,18.32%,15.83%,5,6.88,10,10,12.064724919093852,15,15,17.077237961865777,20,75,618,37132
3,5701,Deep-sea site 2,C,Craftsman's Competence Materia III,T2,57009,8.46%,38.14%,22.17%,23.85%,5,8.102272727272727,10,10,12.59607438016529,15,15,17.62170035565564,20,88,968,55953
3,12928,Deep-sea site 2,C,Empty Crystal,T2,40623,7.33%,38.14%,19.22%,17.00%,5,7.293333333333333,10,10,11.996908809891808,15,15,17.02944788351169,20,75,647,39901
3,10099,Deep-sea site 2,C,Unaspected Crystal,T3,1203,22.96%,22.96%,100.00%,100.00%,1,2.9260700389105057,5,5,7.496598639455782,10,10,12.379224030037546,15,257,147,799
4,11,The Lightless Basin,D,Earth Crystal,T1,20413,8.05%,53.78%,14.97%,13.02%,25,27.115384615384617,30,30,32.21818181818182,35,35,37.38492770845712,40,52,165,20196
4,7588,The Lightless Basin,D,Ferberite,T1,18612,8.32%,53.78%,15.46%,11.87%,10,12.01923076923077,15,15,16.715976331360945,20,20,21.751019520417596,25,52,169,18391
4,5695,The Lightless Basin,D,Gatherer's Grasp Materia II,T1,32188,8.97%,53.78%,16.69%,20.53%,5,6.962962962962963,10,10,12.971014492753623,15,15,17.918795906836586,20,54,276,31858
4,5690,The Lightless Basin,D,Gatherer's Guile Materia II,T1,24914,11.15%,53.78%,20.74%,15.89%,5,7.652777777777778,10,10,13.070754716981131,15,15,18.08721071863581,20,72,212,24630
4,9,The Lightless Basin,D,Ice Crystal,T1,30777,9.00%,53.78%,16.73%,19.63%,25,27.10810810810811,30,30,32.35267857142857,35,35,37.37041897700056,40,74,224,30479
4,12224,The Lightless Basin,D,Vivianite,T1,29885,8.29%,53.78%,15.42%,19.06%,20,26.236363636363638,30,30,34.93227091633466,40,40,44.968727813651576,50,55,251,29579
4,12923,The Lightless Basin,D,Bamboo Weave,T2,10018,5.85%,29.08%,20.12%,19.31%,1,3,5,5,7.329670329670329,10,10,12.580609250075904,15,46,91,9881
4,12928,The Lightless Basin,D,Empty Crystal,T2,8103,4.91%,29.08%,16.87%,15.62%,5,7.45945945945946,10,10,11.830769230769231,15,15,16.739032620922384,20,37,65,8001
4,5696,The Lightless Basin,D,Gatherer's Grasp Materia III,T2,8525,5.21%,29.08%,17.93%,16.43%,6,7.76,10,10,12.137931034482758,15,15,17.0038036372281,20,25,87,8413
4,5691,The Lightless Basin,D,Gatherer's Guile Materia III,T2,13768,6.53%,29.08%,22.47%,26.54%,5,7.878048780487805,10,10,13.119047619047619,15,15,17.747592088816997,20,41,126,13601
4,5118,The Lightless Basin,D,Gold Ore,T2,11471,6.58%,29.08%,22.62%,22.11%,10,13.046511627906977,15,15,18.02,20,20,22.836246468926554,25,43,100,11328
4,22441,The Lightless Basin,D,Crimson Coral,T3,324,7.13%,17.14%,41.59%,41.59%,1,1,1,2,2,2,3,3,3,44,22,258
4,10099,The Lightless Basin,D,Unaspected Crystal,T3,455,10.01%,17.14%,58.41%,58.41%,1,2.8208955223880596,5,5,7.48,10,10,12.294765840220386,15,67,25,363
5,12586,Deep-sea site 3,E,Birch Branch,T1,17293,5.14%,38.65%,13.29%,6.70%,10,12.010362694300518,15,15,15.747863247863247,20,20,20.646825396825395,25,193,468,16632
5,5715,Deep-sea site 3,E,Quickarm Materia II,T1,47925,8.05%,38.65%,20.83%,18.56%,5,7.655172413793103,10,10,13.343283582089553,15,15,18.34405394890416,20,319,1340,46266
5,12220,Deep-sea site 3,E,Red Moko Grass,T1,46782,5.69%,38.65%,14.73%,18.12%,20,25.31338028169014,30,30,34.673637042569084,40,40,44.63209991363848,50,284,1339,45159
5,5675,Deep-sea site 3,E,Savage Might Materia II,T1,55507,5.98%,38.65%,15.48%,21.50%,5,6.911646586345381,10,10,12.941820670773442,15,15,17.933472126698515,20,249,1461,53797
5,13,Deep-sea site 3,E,Water Crystal,T1,56901,7.62%,38.65%,19.71%,22.04%,25,27.48787878787879,30,30,32.549775208734744,35,35,37.60466426727742,40,330,1557,55014
5,10,Deep-sea site 3,E,Wind Crystal,T1,33766,6.17%,38.65%,15.97%,13.08%,25,27.452380952380953,30,30,32.0863539445629,35,35,37.14903610019646,40,252,938,32576
5,12923,Deep-sea site 3,E,Bamboo Weave,T2,29076,7.66%,37.51%,20.43%,18.04%,1,3.3950617283950617,5,5,7.535714285714286,10,10,12.56021167048055,15,324,784,27968
5,12585,Deep-sea site 3,E,Dark Chestnut Branch,T2,32085,4.88%,37.51%,13.02%,19.90%,10,12.734375,15,15,17.13734392735528,20,20,22.112343608925578,25,192,881,31012
5,12225,Deep-sea site 3,E,Deep-red Crystal,T2,24305,6.57%,37.51%,17.52%,15.08%,1,1,1,2,3.419491525423729,5,5,7.735232383808096,10,252,708,23345
